ion_analog,voltage_ion,pressure_ion,conv_analog,voltage_conv,pressure_conv,tags,delta_ion,delta_conv,log_pressure_ion,log_pressure_conv,delta_log_ion,delta_log_conv
439.0,2.17,2.18e-07,194,0.959,0.00103,"IG slow on, CG on",2.1490999999999998e-07,0.0,-15.338770774157322,-6.878196476740593,4.256323971879436,0.0
441.0,2.18,2.28e-07,194,0.959,0.00103,"IG off, CG on",1.000000000000001e-08,0.0,-15.29392020799197,-6.878196476740593,0.044850566165351324,0.0
253.0,1.25,3.16e-09,192,0.949,0.000983,"IG turn on, CG on",-2.2484e-07,-4.700000000000017e-05,-19.57269380934759,-6.924901437817107,-4.278773601355621,-0.04670496107651445
252.0,1.25,3.09e-09,192,0.949,0.000983,"IG turn on, CG on",-6.999999999999997e-11,0.0,-19.595094746036757,-6.924901437817107,-0.02240093668916643,0.0
436.0,2.15,2.04e-07,192,0.949,0.000983,"IG slow on, CG on",2.0091e-07,0.0,-15.405145843102195,-6.924901437817107,4.189948902934562,0.0
432.0,2.13,1.86e-07,192,0.949,0.000983,"IG on, CG on",-1.8000000000000002e-08,0.0,-15.49751916323321,-6.924901437817107,-0.09237332013101529,0.0
432.0,2.13,1.86e-07,193,0.954,0.00101,"IG off, CG on",0.0,2.7000000000000114e-05,-15.49751916323321,-6.897804948128969,0.0,0.02709648968813827
253.0,1.25,3.16e-09,192,0.949,0.000983,"IG turn on, CG on",-1.8284e-07,-2.7000000000000114e-05,-19.57269380934759,-6.924901437817107,-4.07517464611438,-0.02709648968813827
251.0,1.24,3.02e-09,192,0.949,0.000983,"IG turn on, CG on",-1.3999999999999993e-10,0.0,-19.61800900555963,-6.924901437817107,-0.04531519621204083,0.0
534.0,2.64,1.89e-06,193,0.954,0.00101,"IG slow on, CG on",1.88698e-06,2.7000000000000114e-05,-13.178933728892723,-6.897804948128969,6.439075276666909,0.02709648968813827
483.0,2.39,5.93e-07,192,0.949,0.000983,"IG slow on, CG on",-1.297e-06,-2.7000000000000114e-05,-14.338071437948686,-6.924901437817107,-1.1591377090559636,-0.02709648968813827
469.0,2.32,4.32e-07,192,0.949,0.000983,"IG slow on, CG on",-1.6099999999999997e-07,0.0,-14.654840248702302,-6.924901437817107,-0.31676881075361507,0.0
461.0,2.28,3.6e-07,192,0.949,0.000983,"IG slow on, CG on",-7.200000000000001e-08,0.0,-14.837161805496255,-6.924901437817107,-0.18232155679395312,0.0
456.0,2.25,3.21e-07,192,0.949,0.000983,"IG slow on, CG on",-3.900000000000002e-08,0.0,-14.951824713816395,-6.924901437817107,-0.11466290832014003,0.0
454.0,2.24,3.07e-07,192,0.949,0.000983,"IG on, CG on",-1.3999999999999993e-08,0.0,-14.996418089359214,-6.924901437817107,-0.04459337554281895,0.0
451.0,2.23,2.86e-07,193,0.954,0.00101,"IG on, CG on",-2.099999999999999e-08,2.7000000000000114e-05,-15.067274026126558,-6.897804948128969,-0.07085593676734447,0.02709648968813827
450.0,2.22,2.8e-07,193,0.954,0.00101,"IG on, CG on",-5.999999999999974e-09,0.0,-15.088476233777161,-6.897804948128969,-0.0212022076506031,0.0
448.0,2.21,2.68e-07,192,0.949,0.000983,"IG on, CG on",-1.2000000000000002e-08,-2.7000000000000114e-05,-15.132278856435555,-6.924901437817107,-0.04380262265839363,-0.02709648968813827
447.0,2.21,2.62e-07,192,0.949,0.000983,"IG on, CG on",-6.000000000000027e-09,0.0,-15.154921333185314,-6.924901437817107,-0.022642476749759055,0.0
432.0,2.13,1.86e-07,192,0.949,0.000983,"IG on, CG on",-7.599999999999999e-08,0.0,-15.49751916323321,-6.924901437817107,-0.3425978300478967,0.0
427.0,2.11,1.66e-07,192,0.949,0.000983,"IG on, CG on",-1.9999999999999994e-08,0.0,-15.611278048589869,-6.924901437817107,-0.11375888535665801,0.0
430.0,2.12,1.78e-07,193,0.954,0.00101,"IG on, CG on",1.2000000000000002e-08,2.7000000000000114e-05,-15.541482286654325,-6.897804948128969,0.06979576193554315,0.02709648968813827
430.0,2.12,1.78e-07,193,0.954,0.00101,"IG on, CG on",0.0,0.0,-15.541482286654325,-6.897804948128969,0.0,0.0
430.0,2.12,1.78e-07,193,0.954,0.00101,"IG on, CG on",0.0,0.0,-15.541482286654325,-6.897804948128969,0.0,0.0
427.0,2.11,1.66e-07,194,0.959,0.00103,"IG on, CG on",-1.2000000000000002e-08,2.0000000000000052e-05,-15.611278048589869,-6.878196476740593,-0.06979576193554315,0.01960847138837618
427.0,2.11,1.66e-07,192,0.949,0.000983,"IG on, CG on",0.0,-4.700000000000017e-05,-15.611278048589869,-6.924901437817107,0.0,-0.04670496107651445
430.0,2.12,1.78e-07,192,0.949,0.000983,"IG on, CG on",1.2000000000000002e-08,0.0,-15.541482286654325,-6.924901437817107,0.06979576193554315,0.0
