datetime,voltage_ion,pressure_ion,voltage_conv,pressure_conv,tags,IC_unplugged,CC_unplugged,tag_list,tag_IG_on,tag_IG_off,tag_IG_fail,tag_IG_turn_on,tag_IG_turn_off,tag_IG_slow_on,tag_CG_on,tag_CG_off,tag_CG_turn_off,tag_CG_turn_on,tag_gate_manipulation,tag_RP_on,tag_chamber_open,tag_venting,IG_state,CG_state,CH_state,anomaly_if_ion,score_if_raw_ion,score_if_ion,anomaly_if_conv,score_if_raw_conv,score_if_conv,anomaly_if,score_if_raw,score_if
2025-07-06 03:13:36,2.18,2.28e-07,0.949,0.000983,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.153806781844674,-0.153806781844674,1,0.153806781844674,-0.153806781844674
2025-07-06 03:20:06,2.18,2.28e-07,0.954,0.00101,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.24851725622686638,-0.24851725622686638,1,0.24721961140384097,-0.24721961140384097
2025-07-06 03:20:36,2.18,2.28e-07,0.959,0.00103,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.20633100693148065,-0.20633100693148065,1,0.20633100693148065,-0.20633100693148065
2025-07-06 03:21:07,2.18,2.28e-07,0.954,0.00101,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.24851725622686638,-0.24851725622686638,1,0.24721961140384097,-0.24721961140384097
2025-07-06 03:22:37,2.18,2.28e-07,0.954,0.00101,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.24851725622686638,-0.24851725622686638,1,0.24721961140384097,-0.24721961140384097
2025-07-06 03:23:07,2.18,2.28e-07,0.959,0.00103,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.20633100693148065,-0.20633100693148065,1,0.20633100693148065,-0.20633100693148065
2025-07-06 03:24:37,2.18,2.28e-07,0.959,0.00103,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.20633100693148065,-0.20633100693148065,1,0.20633100693148065,-0.20633100693148065
2025-07-06 03:26:37,2.18,2.28e-07,0.959,0.00103,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.20633100693148065,-0.20633100693148065,1,0.20633100693148065,-0.20633100693148065
2025-07-06 03:28:07,2.18,2.28e-07,0.959,0.00103,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.20633100693148065,-0.20633100693148065,1,0.20633100693148065,-0.20633100693148065
2025-07-06 03:33:07,2.18,2.28e-07,0.954,0.00101,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.24851725622686638,-0.24851725622686638,1,0.24721961140384097,-0.24721961140384097
2025-07-06 03:33:37,2.18,2.28e-07,0.949,0.000983,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.153806781844674,-0.153806781844674,1,0.153806781844674,-0.153806781844674
2025-07-06 03:37:07,2.18,2.28e-07,0.954,0.00101,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.24851725622686638,-0.24851725622686638,1,0.24721961140384097,-0.24721961140384097
2025-07-06 03:44:37,2.18,2.33e-07,0.954,0.00101,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24602795578901548,-0.24602795578901548,1,0.24851725622686638,-0.24851725622686638,1,0.24602795578901548,-0.24602795578901548
2025-07-06 03:45:07,2.18,2.28e-07,0.954,0.00101,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.24851725622686638,-0.24851725622686638,1,0.24721961140384097,-0.24721961140384097
2025-07-06 03:48:07,2.18,2.28e-07,0.959,0.00103,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.20633100693148065,-0.20633100693148065,1,0.20633100693148065,-0.20633100693148065
2025-07-06 03:49:07,2.18,2.28e-07,0.959,0.00103,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.20633100693148065,-0.20633100693148065,1,0.20633100693148065,-0.20633100693148065
2025-07-06 03:51:37,2.18,2.33e-07,0.954,0.00101,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24602795578901548,-0.24602795578901548,1,0.24851725622686638,-0.24851725622686638,1,0.24602795578901548,-0.24602795578901548
2025-07-06 03:52:07,2.18,2.28e-07,0.954,0.00101,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.24851725622686638,-0.24851725622686638,1,0.24721961140384097,-0.24721961140384097
2025-07-06 03:53:07,2.18,2.28e-07,0.954,0.00101,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.24851725622686638,-0.24851725622686638,1,0.24721961140384097,-0.24721961140384097
2025-07-06 03:57:07,2.18,2.28e-07,0.949,0.000983,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.153806781844674,-0.153806781844674,1,0.153806781844674,-0.153806781844674
2025-07-06 03:59:07,2.18,2.28e-07,0.949,0.000983,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.153806781844674,-0.153806781844674,1,0.153806781844674,-0.153806781844674
2025-07-06 04:09:07,2.18,2.28e-07,0.959,0.00103,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.20633100693148065,-0.20633100693148065,1,0.20633100693148065,-0.20633100693148065
2025-07-06 04:10:37,2.18,2.28e-07,0.959,0.00103,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.20633100693148065,-0.20633100693148065,1,0.20633100693148065,-0.20633100693148065
2025-07-06 04:11:07,2.18,2.28e-07,0.954,0.00101,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.24851725622686638,-0.24851725622686638,1,0.24721961140384097,-0.24721961140384097
2025-07-06 04:11:37,2.18,2.28e-07,0.959,0.00103,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.20633100693148065,-0.20633100693148065,1,0.20633100693148065,-0.20633100693148065
2025-07-06 04:13:07,2.18,2.28e-07,0.959,0.00103,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.20633100693148065,-0.20633100693148065,1,0.20633100693148065,-0.20633100693148065
2025-07-06 04:19:37,2.18,2.28e-07,0.949,0.000983,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.153806781844674,-0.153806781844674,1,0.153806781844674,-0.153806781844674
2025-07-06 04:20:07,2.18,2.28e-07,0.954,0.00101,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.24851725622686638,-0.24851725622686638,1,0.24721961140384097,-0.24721961140384097
2025-07-06 04:20:37,2.18,2.28e-07,0.949,0.000983,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.153806781844674,-0.153806781844674,1,0.153806781844674,-0.153806781844674
2025-07-06 04:21:07,2.18,2.28e-07,0.954,0.00101,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.24851725622686638,-0.24851725622686638,1,0.24721961140384097,-0.24721961140384097
2025-07-06 04:21:37,2.18,2.28e-07,0.949,0.000983,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.153806781844674,-0.153806781844674,1,0.153806781844674,-0.153806781844674
2025-07-06 04:22:07,2.18,2.28e-07,0.954,0.00101,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.24851725622686638,-0.24851725622686638,1,0.24721961140384097,-0.24721961140384097
2025-07-06 04:22:37,2.18,2.28e-07,0.949,0.000983,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.153806781844674,-0.153806781844674,1,0.153806781844674,-0.153806781844674
2025-07-06 04:23:07,2.18,2.28e-07,0.954,0.00101,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.24851725622686638,-0.24851725622686638,1,0.24721961140384097,-0.24721961140384097
2025-07-06 04:34:08,2.18,2.28e-07,0.954,0.00101,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.24851725622686638,-0.24851725622686638,1,0.24721961140384097,-0.24721961140384097
2025-07-06 04:35:08,2.18,2.33e-07,0.954,0.00101,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24602795578901548,-0.24602795578901548,1,0.24851725622686638,-0.24851725622686638,1,0.24602795578901548,-0.24602795578901548
2025-07-06 04:35:38,2.18,2.28e-07,0.954,0.00101,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.24851725622686638,-0.24851725622686638,1,0.24721961140384097,-0.24721961140384097
2025-07-06 04:36:08,2.18,2.33e-07,0.954,0.00101,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24602795578901548,-0.24602795578901548,1,0.24851725622686638,-0.24851725622686638,1,0.24602795578901548,-0.24602795578901548
2025-07-06 04:37:08,2.18,2.28e-07,0.954,0.00101,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.24851725622686638,-0.24851725622686638,1,0.24721961140384097,-0.24721961140384097
2025-07-06 04:38:08,2.18,2.28e-07,0.954,0.00101,"IG on, CG on",False,False,"['IG on', 'CG on']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,IG on,CG on,CH normal,1,0.24721961140384097,-0.24721961140384097,1,0.24851725622686638,-0.24851725622686638,1,0.24721961140384097,-0.24721961140384097
